skill_name,skill_category,skill_type,technical_domain,catalogue_status,is_active
.NET,,,,MARKET_EXTENSION,true
7-Zip,,Tool,,MTO_EXTENSION,true
AB Tasty,,Service | Library,QA/Testing,MTO_EXTENSION,true
ABAP,Enterprise Systems,,,ACTIVE_INTERNAL,true
ACME,,Tool,DevOps,MTO_EXTENSION,true
AIF360,,Library,MLOps | ML/AI,MTO_EXTENSION,true
API,,,,MARKET_EXTENSION,true
API Integration,Software Engineering,,,ACTIVE_INTERNAL,true
APScheduler,,Library,Backend,MTO_EXTENSION,true
AQL (ArangoDB Query Language),,QueryLanguage,,MTO_EXTENSION,true
ARM Templates,,Tool,DevOps,MTO_EXTENSION,true
ASGI,,Tool,Backend,MTO_EXTENSION,true
ASN.1,,MarkupLanguage,,MTO_EXTENSION,true
ASP.NET,,Framework,Backend,MTO_EXTENSION,true
ASP.NET Core,,Framework,Backend,MTO_EXTENSION,true
ASP.NET MVC,,Framework,Backend,MTO_EXTENSION,true
AWK,,ProgrammingLanguage,DevOps,MTO_EXTENSION,true
AWS,Cloud Computing,,,ACTIVE_INTERNAL,true
AWS AppSync,,Database,Fullstack | Backend | Mobile,MTO_EXTENSION,true
AWS CDK,,Service | Library,DevOps,MTO_EXTENSION,true
AWS Control Tower,,Service,DevOps,MTO_EXTENSION,true
AWS Device Farm,,Library,Mobile,MTO_EXTENSION,true
AWS DynamoDB,,Service | Database,Mobile | IoT | Backend,MTO_EXTENSION,true
AWS Elastic Beanstalk,,Service,DevOps,MTO_EXTENSION,true
AWS Glue,,Database,Data Engineering,MTO_EXTENSION,true
AWS Lake Formation,,Service | Database,Data Engineering,MTO_EXTENSION,true
AWS Landing Zone,,Service,DevOps,MTO_EXTENSION,true
AWS Organizations,,Service,DevOps,MTO_EXTENSION,true
AWS PrivateLink,,Service,Networking | DevOps,MTO_EXTENSION,true
AWS RDS,,Service | Database,Backend | Data Engineering,MTO_EXTENSION,true
AWS Secrets Manager,,Service | Tool,DevOps,MTO_EXTENSION,true
AWS Step Functions,,Service,Backend | DevOps,MTO_EXTENSION,true
AWS Transit Gateway,,Service,Networking | DevOps,MTO_EXTENSION,true
AWS Trusted Advisor,,Tool,DevOps,MTO_EXTENSION,true
AWT,,Library,Frontend,MTO_EXTENSION,true
AWX,,Tool,DevOps,MTO_EXTENSION,true
Abyss Web Server,,Webserver,Backend | DevOps,MTO_EXTENSION,true
AccessibilitySnapshot,,Library,Frontend,MTO_EXTENSION,true
Accompanist,,Library,Mobile,MTO_EXTENSION,true
Accord.NET,,Library,Data Science,MTO_EXTENSION,true
Actian Avalanche,,Database,Data Engineering | Data Science,MTO_EXTENSION,true
ActionHero,,Framework | Library,Backend | Frontend | Fullstack,MTO_EXTENSION,true
ActiveMQ Artemis Core,,Library,Backend,MTO_EXTENSION,true
ActiveSupport,,Library,Backend,MTO_EXTENSION,true
Actix Web,,Framework,Backend,MTO_EXTENSION,true
Ada,,ProgrammingLanguage,Systems Programming | Embedded Systems,MTO_EXTENSION,true
AdapterHub,,Library,ML/AI,MTO_EXTENSION,true
Adobe Illustrator,,Tool,Frontend,MTO_EXTENSION,true
Adobe Photoshop,,Tool,Frontend,MTO_EXTENSION,true
Adobe XD,,Service | Tool,Frontend,MTO_EXTENSION,true
AdonisJS,,Framework,Backend,MTO_EXTENSION,true
Adversarial Robustness Toolbox,,Library,ML/AI,MTO_EXTENSION,true
After.js,,Framework,Fullstack | Frontend,MTO_EXTENSION,true
AgentComms,,Library,ML/AI,MTO_EXTENSION,true
AgentGPT,,Tool,ML/AI,MTO_EXTENSION,true
AgentIntegrator,,Library,ML/AI,MTO_EXTENSION,true
AgentLogger,,Library,ML/AI,MTO_EXTENSION,true
AgentOrchestrator,,Library,ML/AI,MTO_EXTENSION,true
AgentPrompt,,Library,ML/AI,MTO_EXTENSION,true
AgentScript,,Library,ML/AI,MTO_EXTENSION,true
AgentState,,Library,ML/AI,MTO_EXTENSION,true
Agile,Software Engineering,,,ACTIVE_INTERNAL,true
Agouti,,Library,Frontend,MTO_EXTENSION,true
Airborne,,Library,Backend,MTO_EXTENSION,true
Airship,,Library,Mobile,MTO_EXTENSION,true
Akka HTTP,,Framework,Backend,MTO_EXTENSION,true
Alertmanager,,Library,DevOps,MTO_EXTENSION,true
Alfred,,Framework,Backend,MTO_EXTENSION,true
Algorithms,Software Engineering,,,ACTIVE_INTERNAL,true
Alibaba Cloud ApsaraDB,,Database,Data Engineering | Backend,MTO_EXTENSION,true
Alibi Detect,,Library,MLOps,MTO_EXTENSION,true
Alice,,Library,Backend,MTO_EXTENSION,true
AllegroGraph,,Database,ML/AI | Data Science,MTO_EXTENSION,true
Alpine.js,,Framework,Frontend,MTO_EXTENSION,true
AltBeacon Android,,Library,Mobile,MTO_EXTENSION,true
Alteryx,,Tool,Data Science,MTO_EXTENSION,true
Amazon Athena,,Database,Data Engineering | Data Science,MTO_EXTENSION,true
Amazon Aurora,,Database,Data Engineering | Backend,MTO_EXTENSION,true
Amazon Aurora MySQL,,Database,Fullstack | Data Engineering | Backend,MTO_EXTENSION,true
Amazon Aurora PostgreSQL,,Database,Fullstack | Data Engineering | Backend,MTO_EXTENSION,true
Amazon DocumentDB,,Database,Backend,MTO_EXTENSION,true
Amazon EMR,,Database,MLOps | Data Engineering,MTO_EXTENSION,true
Amazon EMR (with Apache Druid),,Database,Data Engineering,MTO_EXTENSION,true
Amazon ElastiCache for Memcached,,Database,,MTO_EXTENSION,true
Amazon ElastiCache for Redis,,Database,DevOps | Backend,MTO_EXTENSION,true
Amazon Kendra,,Database,ML/AI | Data Science,MTO_EXTENSION,true
Amazon Keyspaces,,Database,Data Engineering | Backend,MTO_EXTENSION,true
Amazon Kinesis,,Service,Data Engineering | Backend,MTO_EXTENSION,true
Amazon Managed Blockchain,,Database,Blockchain,MTO_EXTENSION,true
Amazon Managed Service for Prometheus,,Database,DevOps,MTO_EXTENSION,true
Amazon MemoryDB for Redis,,Database,DevOps | Backend,MTO_EXTENSION,true
Amazon Neptune,,Database,ML/AI | Backend | Data Science,MTO_EXTENSION,true
Amazon OpenSearch,,Database,ML/AI | Data Engineering | Backend,MTO_EXTENSION,true
Amazon QLDB,,Database,Blockchain | Backend,MTO_EXTENSION,true
Amazon RDS for MySQL,,Database,Fullstack | Data Engineering | Backend,MTO_EXTENSION,true
Amazon RDS for Oracle,,Database,Data Engineering | Backend,MTO_EXTENSION,true
Amazon RDS for PostgreSQL,,Database,Fullstack | Data Engineering | Backend,MTO_EXTENSION,true
Amazon RDS for SQL Server,,Database,Data Engineering | Backend,MTO_EXTENSION,true
Amazon Redshift,,Service | Database,Data Science | Data Engineering,MTO_EXTENSION,true
Amazon S3 Select,,Database,Data Engineering | Data Science,MTO_EXTENSION,true
Amazon SageMaker,,Service | Tool,MLOps,MTO_EXTENSION,true
Amazon SimpleDB,,Database,Backend,MTO_EXTENSION,true
Amazon Timestream,,Database,IoT | Data Engineering | Backend,MTO_EXTENSION,true
Amber,,Framework,Backend,MTO_EXTENSION,true
Amplitude,,Service | Library,Mobile,MTO_EXTENSION,true
Anaconda Navigator,,Tool,ML/AI,MTO_EXTENSION,true
Android (Native),,Framework,Mobile,MTO_EXTENSION,true
Android Development,Mobile Development,,,ACTIVE_INTERNAL,true
Android Studio,,Tool,Mobile,MTO_EXTENSION,true
AndroidX AppCompat,,Library,Mobile,MTO_EXTENSION,true
Angel,,Framework,Backend,MTO_EXTENSION,true
Angular,Frontend Development,,,ACTIVE_INTERNAL,true
Anime.js,,Library,Frontend,MTO_EXTENSION,true
Annoy,,Library,ML/AI,MTO_EXTENSION,true
Ansible,,Service | Tool | Library,DevOps,MTO_EXTENSION,true
Ant Design,,Library,Frontend,MTO_EXTENSION,true
Ant Design Mobile,,Library,Mobile,MTO_EXTENSION,true
Anthos,,Service,DevOps,MTO_EXTENSION,true
Apache,DevOps and Tools,,,ACTIVE_INTERNAL,true
Apache Airflow,,Tool,Data Science | ML/AI,MTO_EXTENSION,true
Apache AsterixDB,,Database,Data Engineering | Backend,MTO_EXTENSION,true
Apache Beam,,Library,MLOps,MTO_EXTENSION,true
Apache Brooklyn,,Library,DevOps,MTO_EXTENSION,true
Apache Camel,,Library,Fullstack,MTO_EXTENSION,true
Apache Cassandra,,Database,Networking | Data Engineering | Backend,MTO_EXTENSION,true
Apache Commons DBCP,,Library,Backend,MTO_EXTENSION,true
