market_role,normalized_title,broad_area,mapping_type,catalogue_origin,source,review_status,notes
Software Engineer,software engineer,Software & Applications,exact,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,software developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Developer and engineer are used interchangeably for the same work
Software Engineer,software engineer developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Graduate Software Engineer / Developer names one job twice
Software Engineer,software development engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,software application engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,application developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,analyst programmer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Long-standing Malaysian term for an application programmer
Software Engineer,programmer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,java developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Language named; the career function is unchanged
Software Engineer,java software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,php developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,php programmer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,php software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,asp.net software developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,nodejs developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,dotnet developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,crm developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,salesforce developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,salesforce developer and administrator,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,oracle cloud oci developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,information technology developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,product developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,software engineer automation,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Software Engineer,r and d software development engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
