alias_name,skill_name,source,requires_context,is_active
.NET CLI,dotnet cli,MTO,false,true
.NET Core,.NET,MTO,false,true
.NET Framework,.NET,MTO,false,true
.NET Language Integrated Query,LINQ (Language Integrated Query),MTO,false,true
.proto,Protobuf,MTO,false,false
0mq for .net,NetMQ,MTO,false,true
7zip,7-Zip,MTO,true,true
@kubernetes/client-node,kubernetes-client,MTO,false,true
@microsoft/rush,Rush,MTO,false,true
AP Scheduler,APScheduler,MTO,false,true
AQL,AQL (ArangoDB Query Language),MTO,true,true
ART,Adversarial Robustness Toolbox,MTO,true,false
ASE database,Sybase ASE,MTO,false,true
ASGI (Asynchronous Server Gateway Interface),ASGI,MTO,false,true
AWS AppSync GraphQL,AWS AppSync,MTO,false,true
AWS Athena,Amazon Athena,MTO,false,true
AWS Athena Query Service,Amazon Athena,MTO,false,true
AWS Aurora,Amazon Aurora,MTO,false,true
AWS Aurora Database,Amazon Aurora,MTO,false,true
AWS Aurora MySQL,Amazon Aurora MySQL,MTO,false,true
AWS Aurora PostgreSQL,Amazon Aurora PostgreSQL,MTO,false,true
AWS Aurora for MySQL,Amazon Aurora MySQL,MTO,false,true
AWS Aurora for Postgres,Amazon Aurora PostgreSQL,MTO,false,true
AWS Blockchain,Amazon Managed Blockchain,MTO,false,true
AWS DocumentDB,Amazon DocumentDB,MTO,false,true
AWS DocumentDB (MongoDB compatible),Amazon DocumentDB,MTO,false,true
AWS Dynamo,AWS DynamoDB,MTO,false,true
AWS EMR,Amazon EMR,MTO,false,true
AWS EMR Druid,Amazon EMR (with Apache Druid),MTO,false,true
AWS EMR with Druid,Amazon EMR (with Apache Druid),MTO,false,true
AWS ElastiCache Memcached,Amazon ElastiCache for Memcached,MTO,false,true
AWS ElastiCache Redis,Amazon ElastiCache for Redis,MTO,false,true
AWS ElastiCache for Memcached,Amazon ElastiCache for Memcached,MTO,false,true
AWS ElastiCache for Redis,Amazon ElastiCache for Redis,MTO,false,true
AWS Elastic MapReduce,Amazon EMR,MTO,false,true
AWS Elasticsearch (old name),Amazon OpenSearch,MTO,false,true
AWS Glue Data Catalog,AWS Glue,MTO,false,true
AWS Glue ETL,AWS Glue,MTO,false,true
AWS Kendra,Amazon Kendra,MTO,false,true
AWS Kendra Intelligent Search,Amazon Kendra,MTO,false,true
AWS Keyspaces,Amazon Keyspaces,MTO,false,true
AWS Keyspaces for Cassandra,Amazon Keyspaces,MTO,false,true
AWS Lake Formation Data Lake,AWS Lake Formation,MTO,false,true
AWS LakeFormation,AWS Lake Formation,MTO,false,true
AWS Managed Blockchain,Amazon Managed Blockchain,MTO,false,true
AWS Managed Prometheus,Amazon Managed Service for Prometheus,MTO,false,true
AWS Managed Service for Prometheus,Amazon Managed Service for Prometheus,MTO,false,true
AWS MemoryDB Redis,Amazon MemoryDB for Redis,MTO,false,true
AWS MemoryDB for Redis,Amazon MemoryDB for Redis,MTO,false,true
AWS Neptune,Amazon Neptune,MTO,false,true
AWS Neptune Graph Database,Amazon Neptune,MTO,false,true
AWS OpenSearch,Amazon OpenSearch,MTO,false,true
AWS OpenSearch Service,Amazon OpenSearch,MTO,false,true
AWS QLDB,Amazon QLDB,MTO,false,true
AWS Quantum Ledger Database,Amazon QLDB,MTO,false,true
AWS RDS MySQL,Amazon RDS for MySQL,MTO,false,true
AWS RDS Oracle,Amazon RDS for Oracle,MTO,false,true
AWS RDS Postgres,Amazon RDS for PostgreSQL,MTO,false,true
AWS RDS SQL Server,Amazon RDS for SQL Server,MTO,false,true
AWS RDS for MySQL,Amazon RDS for MySQL,MTO,false,true
AWS RDS for Oracle,Amazon RDS for Oracle,MTO,false,true
AWS RDS for PostgreSQL,Amazon RDS for PostgreSQL,MTO,false,true
AWS RDS for SQL Server,Amazon RDS for SQL Server,MTO,false,true
AWS Redshift,Amazon Redshift,MTO,false,true
AWS Redshift Data Warehouse,Amazon Redshift,MTO,false,true
AWS Relational Database Service,AWS RDS,MTO,false,true
AWS S3 Query,Amazon S3 Select,MTO,false,true
AWS S3 Select,Amazon S3 Select,MTO,false,true
AWS Simple Database,Amazon SimpleDB,MTO,false,true
AWS SimpleDB,Amazon SimpleDB,MTO,false,true
AWS Timestream,Amazon Timestream,MTO,false,true
AWS Timestream Time Series Database,Amazon Timestream,MTO,false,true
AWS cloudformation,CloudFormation,MTO,false,true
AWS moto,moto,MTO,false,true
AWS redshift,Amazon Redshift,MTO,false,true
AWS sagemaker,Amazon SageMaker,MTO,false,true
AWS sm,AWS Secrets Manager,MTO,false,true
Actian Avalanche Cloud,Actian Avalanche,MTO,false,true
Actian Cloud Avalanche,Actian Avalanche,MTO,false,true
Actian avalanche cloud,Actian Avalanche,MTO,false,true
Alibaba ApsaraDB,Alibaba Cloud ApsaraDB,MTO,false,true
Alibaba Cloud Database,Alibaba Cloud ApsaraDB,MTO,false,true
Alibaba cloud database,Alibaba Cloud ApsaraDB,MTO,false,true
AllegroGraph RDF,AllegroGraph,MTO,false,true
AllegroGraph database,AllegroGraph,MTO,false,true
AllegroGraph graph database,AllegroGraph,MTO,false,true
Amazon AppSync,AWS AppSync,MTO,false,true
Amazon Athena Query Service,Amazon Athena,MTO,false,true
Amazon Aurora Database,Amazon Aurora,MTO,false,true
Amazon Aurora for MySQL,Amazon Aurora MySQL,MTO,false,true
Amazon Aurora for PostgreSQL,Amazon Aurora PostgreSQL,MTO,false,true
Amazon Blockchain,Amazon Managed Blockchain,MTO,false,true
Amazon DocumentDB (MongoDB compatible),Amazon DocumentDB,MTO,false,true
Amazon Dynamo,AWS DynamoDB,MTO,false,true
Amazon EC2,EC2,INTERNAL,false,true
Amazon ElastiCache Memcached,Amazon ElastiCache for Memcached,MTO,false,true
Amazon ElastiCache Redis,Amazon ElastiCache for Redis,MTO,false,true
Amazon Elastic MapReduce,Amazon EMR,MTO,false,true
Amazon Elasticsearch (old name),Amazon OpenSearch,MTO,false,true
Amazon Kendra Intelligent Search,Amazon Kendra,MTO,false,true
Amazon Keyspaces for Cassandra,Amazon Keyspaces,MTO,false,true
Amazon Managed Prometheus,Amazon Managed Service for Prometheus,MTO,false,true
Amazon MemoryDB Redis,Amazon MemoryDB for Redis,MTO,false,true
Amazon MySQL RDS,Amazon RDS for MySQL,MTO,false,true
Amazon Neptune Graph Database,Amazon Neptune,MTO,false,true
Amazon OpenSearch Service,Amazon OpenSearch,MTO,false,true
Amazon Oracle RDS,Amazon RDS for Oracle,MTO,false,true
Amazon PostgreSQL RDS,Amazon RDS for PostgreSQL,MTO,false,true
Amazon Quantum Ledger Database,Amazon QLDB,MTO,false,true
Amazon Redshift Data Warehouse,Amazon Redshift,MTO,false,true
Amazon Relational Database Service,AWS RDS,MTO,false,true
Amazon S3 Query,Amazon S3 Select,MTO,false,true
Amazon SQL Server RDS,Amazon RDS for SQL Server,MTO,false,true
Amazon Simple Database,Amazon SimpleDB,MTO,false,true
Amazon Timestream Time Series Database,Amazon Timestream,MTO,false,true
Anaconda Python,Python,MTO,false,false
Apache Asterix DB,Apache AsterixDB,MTO,false,true
Apache Cassandra database,Apache Cassandra,MTO,false,true
Apache Derby database,Apache Derby,MTO,false,true
Apache Drill SQL,Drill SQL (Apache Drill),MTO,false,true
Apache Drill database,Apache Drill,MTO,false,true
Apache Druid database,Apache Druid,MTO,false,true
Apache Gremlin,Gremlin,MTO,false,true
Apache Hadoop,Hadoop,MTO,false,true
Apache Hive database,Apache Hive,MTO,false,true
Apache Jena Fuseki server,Apache Jena Fuseki,MTO,false,true
Apache Phoenix,Apache Phoenix (over Apache HBase),MTO,false,true
Apache Phoenix SQL,Phoenix SQL (Apache Phoenix),MTO,false,true
Apache Pig Latin,Pig Latin (Apache Pig),MTO,false,true
Apache Pig database,Apache Pig,MTO,false,true
Apache TinkerPop TinkerGraph,Apache TinkerGraph,MTO,false,true
Apache Trafodion database,Apache Trafodion,MTO,false,true
Apama,Apama (Software AG),MTO,false,true
Apama CEP,Apama (Software AG),MTO,false,true
Apama engine,Apama (Software AG),MTO,false,true
AppSync,AWS AppSync,MTO,false,true
Application Programming Interface,API,INTERNAL,false,true
Approval Tests,ApprovalTests,MTO,false,true
ApsaraDB,Alibaba Cloud ApsaraDB,MTO,false,true
Arango DB,ArangoDB (with GraphQL support),MTO,false,true
Arango Oasis,ArangoDB Oasis,MTO,false,true
ArangoDB,ArangoDB (with GraphQL support),MTO,false,true
ArangoDB Cloud Oasis,ArangoDB Oasis,MTO,false,true
ArangoDB GraphQL,ArangoDB (with GraphQL support),MTO,false,true
ArangoDB Managed,ArangoDB Oasis,MTO,false,true
ArangoDB Query Language,AQL (ArangoDB Query Language),MTO,false,true
ArangoDB database,ArangoDB (with GraphQL support),MTO,false,true
ArangoDB managed cloud,ArangoDB Oasis,MTO,false,true
Asterix database,Apache AsterixDB,MTO,false,true
AsterixDB,Apache AsterixDB,MTO,false,true
Astra DB,Cassandra Astra,MTO,false,true
Astra Database,Cassandra Astra,MTO,false,true
Athena,Amazon Athena,MTO,false,true
Atlas,MongoDB Atlas,MTO,false,true
AuraDB,Neo4j AuraDB,MTO,false,true
Aurora,Amazon Aurora,MTO,false,false
Aurora MySQL,Amazon Aurora MySQL,MTO,false,true
Aurora PostgreSQL,Amazon Aurora PostgreSQL,MTO,false,true
Autonomous Database,Oracle Autonomous Database,MTO,false,true
Avalanche,Actian Avalanche,MTO,false,true
Axon,Axon (Elixir),MTO,true,true
Axon ML,Axon (Elixir),MTO,false,true
Axon for Elixir,Axon (Elixir),MTO,false,true
Azure Cache for Redis,Azure Cache,MTO,false,true
Azure Cognitive Search Vector,Azure Cognitive Search,MTO,false,true
Azure Cosmos,Azure Cosmos DB,MTO,false,true
Azure Cosmos DB Gremlin,Azure Cosmos DB for Gremlin,MTO,false,true
Azure Cosmos Gremlin,Azure Cosmos DB for Gremlin,MTO,false,true
Azure CosmosDB,Azure Cosmos DB,MTO,false,true
Azure Data Explorer Kusto,Azure Data Explorer,MTO,false,true
Azure Data Explorer Query Language,KQL (Kusto Query Language),MTO,false,true
Azure HD Insight,Azure HDInsight,MTO,false,true
Azure HDInsight Hadoop,Azure HDInsight,MTO,false,true
Azure Kusto,Azure Data Explorer,MTO,false,true
