from_skill,to_skill,relationship_type,source
AIF360,Python,SUPPORTED_LANGUAGE,MTO
APScheduler,Python,SUPPORTED_LANGUAGE,MTO
ASGI,Python,IMPLIES_KNOWING,MTO
ASGI,asyncio,IMPLIES_KNOWING,MTO
ASP.NET,VB.NET,IMPLIES_KNOWING,MTO
ASP.NET,entity framework,IMPLIES_KNOWING,MTO
ASP.NET,visual studio,IMPLIES_KNOWING,MTO
ASP.NET Core,ASP.NET,IMPLIES_KNOWING,MTO
ASP.NET Core,ASP.NET MVC,IMPLIES_KNOWING,MTO
ASP.NET Core,C#,IMPLIES_KNOWING,MTO
ASP.NET Core,Entity Framework Core,IMPLIES_KNOWING,MTO
ASP.NET Core,VB.NET,IMPLIES_KNOWING,MTO
ASP.NET Core,visual studio,IMPLIES_KNOWING,MTO
ASP.NET MVC,C#,IMPLIES_KNOWING,MTO
ASP.NET MVC,entity framework,IMPLIES_KNOWING,MTO
ASP.NET MVC,visual studio,IMPLIES_KNOWING,MTO
AWS AppSync,GraphQL,IMPLIES_KNOWING,MTO
AWS DynamoDB,PartiQL,IMPLIES_KNOWING,MTO
AWS Glue,AWS Lake Formation,IMPLIES_KNOWING,MTO
AWS Glue,SQL,IMPLIES_KNOWING,MTO
AWS Lake Formation,AWS Glue,IMPLIES_KNOWING,MTO
AWS Lake Formation,SQL,IMPLIES_KNOWING,MTO
AWS RDS,Amazon Aurora,IMPLIES_KNOWING,MTO
AWS RDS,SQL,IMPLIES_KNOWING,MTO
AWT,Java,SUPPORTED_LANGUAGE,MTO
AccessibilitySnapshot,Swift,SUPPORTED_LANGUAGE,MTO
Accompanist,Kotlin,SUPPORTED_LANGUAGE,MTO
Accord.NET,C#,SUPPORTED_LANGUAGE,MTO
Actian Avalanche,SQL,IMPLIES_KNOWING,MTO
ActionHero,JavaScript,SUPPORTED_LANGUAGE,MTO
ActionHero,Node.js,IMPLIES_KNOWING,MTO
ActionHero,TypeScript,IMPLIES_KNOWING,MTO
ActionHero,WebSocket,IMPLIES_KNOWING,MTO
ActionHero,npm,IMPLIES_KNOWING,MTO
ActiveMQ Artemis Core,Java,SUPPORTED_LANGUAGE,MTO
ActiveSupport,Ruby,SUPPORTED_LANGUAGE,MTO
Actix Web,Cargo,IMPLIES_KNOWING,MTO
Actix Web,Rust,IMPLIES_KNOWING,MTO
Actix Web,tokio,IMPLIES_KNOWING,MTO
AdapterHub,Python,SUPPORTED_LANGUAGE,MTO
AdonisJS,JavaScript,IMPLIES_KNOWING,MTO
AdonisJS,Node.js,IMPLIES_KNOWING,MTO
AdonisJS,TypeScript,IMPLIES_KNOWING,MTO
AdonisJS,npm,IMPLIES_KNOWING,MTO
Adversarial Robustness Toolbox,Python,SUPPORTED_LANGUAGE,MTO
After.js,JavaScript,IMPLIES_KNOWING,MTO
After.js,React,IMPLIES_KNOWING,MTO
AgentComms,Java,SUPPORTED_LANGUAGE,MTO
AgentIntegrator,Java,SUPPORTED_LANGUAGE,MTO
AgentLogger,Java,SUPPORTED_LANGUAGE,MTO
AgentOrchestrator,Java,SUPPORTED_LANGUAGE,MTO
AgentPrompt,Java,SUPPORTED_LANGUAGE,MTO
AgentScript,JavaScript,SUPPORTED_LANGUAGE,MTO
AgentState,Java,SUPPORTED_LANGUAGE,MTO
Airborne,Ruby,SUPPORTED_LANGUAGE,MTO
Airship,Java,SUPPORTED_LANGUAGE,MTO
Akka HTTP,Scala,IMPLIES_KNOWING,MTO
Akka HTTP,akka,IMPLIES_KNOWING,MTO
Akka HTTP,sbt,IMPLIES_KNOWING,MTO
Alfred,Dart,IMPLIES_KNOWING,MTO
Alibaba Cloud ApsaraDB,SQL,IMPLIES_KNOWING,MTO
AllegroGraph,SPARQL,IMPLIES_KNOWING,MTO
Alpine.js,CSS,IMPLIES_KNOWING,MTO
Alpine.js,HTML,IMPLIES_KNOWING,MTO
Alpine.js,JavaScript,IMPLIES_KNOWING,MTO
Alpine.js,Tailwind CSS,IMPLIES_KNOWING,MTO
AltBeacon Android,Java,SUPPORTED_LANGUAGE,MTO
AltBeacon Android,Kotlin,SUPPORTED_LANGUAGE,MTO
Amazon Athena,Amazon S3 Select,IMPLIES_KNOWING,MTO
Amazon Athena,SQL,IMPLIES_KNOWING,MTO
Amazon Aurora,SQL,IMPLIES_KNOWING,MTO
Amazon Aurora MySQL,Amazon Aurora,IMPLIES_KNOWING,MTO
Amazon Aurora MySQL,Amazon RDS for MySQL,IMPLIES_KNOWING,MTO
Amazon Aurora MySQL,MySQL,IMPLIES_KNOWING,MTO
Amazon Aurora MySQL,MySQL Query Language,IMPLIES_KNOWING,MTO
Amazon Aurora PostgreSQL,Amazon Aurora,IMPLIES_KNOWING,MTO
Amazon Aurora PostgreSQL,Amazon RDS for PostgreSQL,IMPLIES_KNOWING,MTO
Amazon Aurora PostgreSQL,PostgreSQL,IMPLIES_KNOWING,MTO
Amazon Aurora PostgreSQL,PostgreSQL SQL,IMPLIES_KNOWING,MTO
Amazon DocumentDB,MongoDB,IMPLIES_KNOWING,MTO
Amazon DocumentDB,MongoDB Query Language,IMPLIES_KNOWING,MTO
Amazon EMR,Druid SQL,IMPLIES_KNOWING,MTO
Amazon EMR,Hadoop,IMPLIES_KNOWING,MTO
Amazon EMR,HiveQL (Hive Query Language),IMPLIES_KNOWING,MTO
Amazon EMR,Phoenix SQL (Apache Phoenix),IMPLIES_KNOWING,MTO
Amazon EMR,Pig Latin (Apache Pig),IMPLIES_KNOWING,MTO
Amazon EMR (with Apache Druid),Amazon EMR,IMPLIES_KNOWING,MTO
Amazon EMR (with Apache Druid),Apache Druid,IMPLIES_KNOWING,MTO
Amazon EMR (with Apache Druid),Druid SQL,IMPLIES_KNOWING,MTO
Amazon ElastiCache for Memcached,memcached,IMPLIES_KNOWING,MTO
Amazon ElastiCache for Redis,Redis,IMPLIES_KNOWING,MTO
Amazon Keyspaces,Apache Cassandra,IMPLIES_KNOWING,MTO
Amazon Keyspaces,CQL (Cassandra Query Language),IMPLIES_KNOWING,MTO
Amazon Managed Service for Prometheus,PromQL (Prometheus Query Language),IMPLIES_KNOWING,MTO
Amazon Managed Service for Prometheus,Prometheus,IMPLIES_KNOWING,MTO
Amazon MemoryDB for Redis,Amazon ElastiCache for Redis,IMPLIES_KNOWING,MTO
Amazon MemoryDB for Redis,Redis,IMPLIES_KNOWING,MTO
Amazon Neptune,Gremlin,IMPLIES_KNOWING,MTO
Amazon Neptune,OpenCypher,IMPLIES_KNOWING,MTO
Amazon Neptune,SPARQL,IMPLIES_KNOWING,MTO
Amazon OpenSearch,Elasticsearch (with dense vector support),IMPLIES_KNOWING,MTO
Amazon QLDB,PartiQL,IMPLIES_KNOWING,MTO
Amazon RDS for MySQL,MySQL,IMPLIES_KNOWING,MTO
Amazon RDS for MySQL,MySQL Query Language,IMPLIES_KNOWING,MTO
Amazon RDS for Oracle,PL/SQL,IMPLIES_KNOWING,MTO
Amazon RDS for PostgreSQL,PostgreSQL,IMPLIES_KNOWING,MTO
Amazon RDS for PostgreSQL,PostgreSQL SQL,IMPLIES_KNOWING,MTO
Amazon RDS for SQL Server,Microsoft SQL Server,IMPLIES_KNOWING,MTO
Amazon RDS for SQL Server,SQL,IMPLIES_KNOWING,MTO
Amazon RDS for SQL Server,T-SQL,IMPLIES_KNOWING,MTO
Amazon Redshift,SQL,IMPLIES_KNOWING,MTO
Amazon S3 Select,Amazon Athena,IMPLIES_KNOWING,MTO
Amazon S3 Select,PartiQL,IMPLIES_KNOWING,MTO
Amazon S3 Select,SQL,IMPLIES_KNOWING,MTO
Amazon Timestream,SQL,IMPLIES_KNOWING,MTO
Amber,Crystal,IMPLIES_KNOWING,MTO
Android (Native),Android Studio,IMPLIES_KNOWING,MTO
Android (Native),Firebase,IMPLIES_KNOWING,MTO
Android (Native),Gradle,IMPLIES_KNOWING,MTO
Android (Native),Java,IMPLIES_KNOWING,MTO
Android (Native),Kotlin,IMPLIES_KNOWING,MTO
Android (Native),SQLite,IMPLIES_KNOWING,MTO
AndroidX AppCompat,Java,SUPPORTED_LANGUAGE,MTO
Angel,Dart,IMPLIES_KNOWING,MTO
Angular,CSS,IMPLIES_KNOWING,MTO
Angular,HTML,IMPLIES_KNOWING,MTO
Angular,JavaScript,IMPLIES_KNOWING,MTO
Angular,RxJS,IMPLIES_KNOWING,MTO
Angular,TypeScript,IMPLIES_KNOWING,MTO
Angular,grunt,IMPLIES_KNOWING,MTO
Angular,ngrx,IMPLIES_KNOWING,MTO
Anime.js,JavaScript,SUPPORTED_LANGUAGE,MTO
Annoy,Python,SUPPORTED_LANGUAGE,MTO
Ant Design,JavaScript,IMPLIES_KNOWING,MTO
Ant Design,JavaScript,SUPPORTED_LANGUAGE,MTO
Ant Design,React,IMPLIES_KNOWING,MTO
Ant Design,TypeScript,IMPLIES_KNOWING,MTO
Ant Design,npm,IMPLIES_KNOWING,MTO
Ant Design Mobile,JavaScript,IMPLIES_KNOWING,MTO
Ant Design Mobile,React,IMPLIES_KNOWING,MTO
Apache AsterixDB,SQL++,IMPLIES_KNOWING,MTO
Apache Beam,Java,SUPPORTED_LANGUAGE,MTO
Apache Brooklyn,Java,SUPPORTED_LANGUAGE,MTO
Apache Camel,Java,SUPPORTED_LANGUAGE,MTO
Apache Cassandra,CQL (Cassandra Query Language),IMPLIES_KNOWING,MTO
Apache Commons DBCP,Java,SUPPORTED_LANGUAGE,MTO
Apache Commons Email,Java,SUPPORTED_LANGUAGE,MTO
Apache Commons Math,Java,SUPPORTED_LANGUAGE,MTO
Apache Cordova,JavaScript,IMPLIES_KNOWING,MTO
Apache Crunch,Java,SUPPORTED_LANGUAGE,MTO
Apache Derby,SQL,IMPLIES_KNOWING,MTO
Apache Drill,Drill SQL (Apache Drill),IMPLIES_KNOWING,MTO
Apache Druid,Druid SQL,IMPLIES_KNOWING,MTO
Apache Hive,Hadoop,IMPLIES_KNOWING,MTO
Apache Hive,HiveQL (Hive Query Language),IMPLIES_KNOWING,MTO
Apache Ivy,Java,SUPPORTED_LANGUAGE,MTO
Apache Jena Fuseki,SPARQL,IMPLIES_KNOWING,MTO
Apache Mahout,Java,SUPPORTED_LANGUAGE,MTO
Apache Maven,Java,SUPPORTED_LANGUAGE,MTO
Apache OpenNLP,Java,SUPPORTED_LANGUAGE,MTO
Apache Phoenix (over Apache HBase),Hadoop,IMPLIES_KNOWING,MTO
Apache Phoenix (over Apache HBase),Phoenix SQL (Apache Phoenix),IMPLIES_KNOWING,MTO
Apache Pig,Apache Hive,IMPLIES_KNOWING,MTO
Apache Pig,Hadoop,IMPLIES_KNOWING,MTO
Apache Pig,Pig Latin (Apache Pig),IMPLIES_KNOWING,MTO
Apache Pivot,Java,SUPPORTED_LANGUAGE,MTO
Apache Qpid JMS Client,Java,SUPPORTED_LANGUAGE,MTO
Apache TinkerGraph,Gremlin,IMPLIES_KNOWING,MTO
Apache Tomcat,Java,IMPLIES_KNOWING,MTO
Apache Trafodion,SQL,IMPLIES_KNOWING,MTO
Apache Velocity,Java,SUPPORTED_LANGUAGE,MTO
Apache Wicket,Java,SUPPORTED_LANGUAGE,MTO
Apache.NMS,C#,SUPPORTED_LANGUAGE,MTO
Apama (Software AG),EQL (Event Query Language),IMPLIES_KNOWING,MTO
Apollo Client,JavaScript,SUPPORTED_LANGUAGE,MTO
AppAuth-iOS,Swift,SUPPORTED_LANGUAGE,MTO
Appcelerator Titanium,JavaScript,IMPLIES_KNOWING,MTO
ArangoDB (with GraphQL support),AQL (ArangoDB Query Language),IMPLIES_KNOWING,MTO
ArangoDB (with GraphQL support),GraphQL,IMPLIES_KNOWING,MTO
ArangoDB Oasis,AQL (ArangoDB Query Language),IMPLIES_KNOWING,MTO
ArangoDB Oasis,ArangoDB (with GraphQL support),IMPLIES_KNOWING,MTO
Arbiter,Java,SUPPORTED_LANGUAGE,MTO
ArchGDAL.jl,Julia,SUPPORTED_LANGUAGE,MTO
Arquillian,Java,SUPPORTED_LANGUAGE,MTO
AssertJ,Java,SUPPORTED_LANGUAGE,MTO
AssertJ-Swing,Java,SUPPORTED_LANGUAGE,MTO
Aurelia,CSS,IMPLIES_KNOWING,MTO
Aurelia,HTML,IMPLIES_KNOWING,MTO
Aurelia,JavaScript,IMPLIES_KNOWING,MTO
Aurelia,TypeScript,IMPLIES_KNOWING,MTO
Aurelia,Webpack,IMPLIES_KNOWING,MTO
Auth0 Android,Java,SUPPORTED_LANGUAGE,MTO
Auth0 Android,Kotlin,SUPPORTED_LANGUAGE,MTO
Auth0.js,JavaScript,SUPPORTED_LANGUAGE,MTO
Auto-sklearn,Python,SUPPORTED_LANGUAGE,MTO
AutoLISP,Lisp,IMPLIES_KNOWING,MTO
Axe.Windows,C#,SUPPORTED_LANGUAGE,MTO
Axios,JavaScript,SUPPORTED_LANGUAGE,MTO
Axon (Elixir),Elixir,SUPPORTED_LANGUAGE,MTO
Axum,Cargo,IMPLIES_KNOWING,MTO
Axum,Rust,IMPLIES_KNOWING,MTO
Axum,tokio,IMPLIES_KNOWING,MTO
Azure Cache,Amazon ElastiCache for Redis,IMPLIES_KNOWING,MTO
Azure Cache,Cloud Memorystore,IMPLIES_KNOWING,MTO
Azure Cache,Redis,IMPLIES_KNOWING,MTO
Azure Cognitive Search,Amazon Kendra,IMPLIES_KNOWING,MTO
Azure Cosmos DB,Apache Cassandra,IMPLIES_KNOWING,MTO
Azure Cosmos DB,CQL (Cassandra Query Language),IMPLIES_KNOWING,MTO
Azure Cosmos DB,Gremlin,IMPLIES_KNOWING,MTO
Azure Cosmos DB,MongoDB,IMPLIES_KNOWING,MTO
Azure Cosmos DB,MongoDB Query Language,IMPLIES_KNOWING,MTO
Azure Cosmos DB,PostgreSQL SQL,IMPLIES_KNOWING,MTO
Azure Cosmos DB,SQL,IMPLIES_KNOWING,MTO
Azure Cosmos DB for Gremlin,Azure Cosmos DB,IMPLIES_KNOWING,MTO
Azure Cosmos DB for Gremlin,Gremlin,IMPLIES_KNOWING,MTO
Azure Data Explorer,KQL (Kusto Query Language),IMPLIES_KNOWING,MTO
Azure Data Explorer,SQL,IMPLIES_KNOWING,MTO
Azure HDInsight,Amazon EMR,IMPLIES_KNOWING,MTO
Azure HDInsight,Dataproc,IMPLIES_KNOWING,MTO
Azure HDInsight,Hadoop,IMPLIES_KNOWING,MTO
Azure HDInsight,HiveQL (Hive Query Language),IMPLIES_KNOWING,MTO
Azure HDInsight,Pig Latin (Apache Pig),IMPLIES_KNOWING,MTO
Azure Monitor,Amazon Managed Service for Prometheus,IMPLIES_KNOWING,MTO
Azure Monitor,PromQL (Prometheus Query Language),IMPLIES_KNOWING,MTO
Azure Monitor,Prometheus,IMPLIES_KNOWING,MTO
Azure SQL Database,Microsoft SQL Server,IMPLIES_KNOWING,MTO
Azure SQL Database,SQL,IMPLIES_KNOWING,MTO
Azure SQL Database,T-SQL,IMPLIES_KNOWING,MTO
Azure SQL Managed Instance,Azure SQL Database,IMPLIES_KNOWING,MTO
Azure SQL Managed Instance,Microsoft SQL Server,IMPLIES_KNOWING,MTO
Azure SQL Managed Instance,SQL,IMPLIES_KNOWING,MTO
Azure SQL Managed Instance,T-SQL,IMPLIES_KNOWING,MTO
Azure Synapse,Amazon Redshift,IMPLIES_KNOWING,MTO
Azure Synapse,Azure SQL Database,IMPLIES_KNOWING,MTO
Azure Synapse,SQL,IMPLIES_KNOWING,MTO
Azure Synapse,Snowflake,IMPLIES_KNOWING,MTO
BSON,JSON,IMPLIES_KNOWING,MTO
Backbone.js,CSS,IMPLIES_KNOWING,MTO
Backbone.js,HTML,IMPLIES_KNOWING,MTO
Backbone.js,JavaScript,IMPLIES_KNOWING,MTO
Backbone.js,jquery,IMPLIES_KNOWING,MTO
BackstopJS,JavaScript,SUPPORTED_LANGUAGE,MTO
Barista,Kotlin,SUPPORTED_LANGUAGE,MTO
BaseX,XPath,IMPLIES_KNOWING,MTO
BaseX,XQuery,IMPLIES_KNOWING,MTO
Battery Historian,Java,SUPPORTED_LANGUAGE,MTO
Battery Historian,Kotlin,SUPPORTED_LANGUAGE,MTO
Beego,Go,IMPLIES_KNOWING,MTO
Behat,PHP,SUPPORTED_LANGUAGE,MTO
Benchmark.js,JavaScript,SUPPORTED_LANGUAGE,MTO
BentoML for Agents,Python,SUPPORTED_LANGUAGE,MTO
Bit,JavaScript,SUPPORTED_LANGUAGE,MTO
Blazor,C#,IMPLIES_KNOWING,MTO
Blazor,CSS,IMPLIES_KNOWING,MTO
Blazor,HTML,IMPLIES_KNOWING,MTO
Blazor,dotnet cli,IMPLIES_KNOWING,MTO
Blazor,visual studio,IMPLIES_KNOWING,MTO
Blazored.LocalStorage,C#,SUPPORTED_LANGUAGE,MTO
Blazored.Modal,C#,SUPPORTED_LANGUAGE,MTO
Blazored.Toast,C#,SUPPORTED_LANGUAGE,MTO
Blazorise,C#,SUPPORTED_LANGUAGE,MTO
Blitz.js,JavaScript,IMPLIES_KNOWING,MTO
Blitz.js,React,IMPLIES_KNOWING,MTO
BlueprintJS,JavaScript,IMPLIES_KNOWING,MTO
BlueprintJS,JavaScript,SUPPORTED_LANGUAGE,MTO
BlueprintJS,React,IMPLIES_KNOWING,MTO
BlueprintJS,npm,IMPLIES_KNOWING,MTO
BonMot,Swift,SUPPORTED_LANGUAGE,MTO
BoofCV,Java,SUPPORTED_LANGUAGE,MTO
Bookshelf,JavaScript,SUPPORTED_LANGUAGE,MTO
Boomerang,JavaScript,SUPPORTED_LANGUAGE,MTO
Bootstrap,CSS,IMPLIES_KNOWING,MTO
Bootstrap,HTML,IMPLIES_KNOWING,MTO
Bootstrap,JavaScript,IMPLIES_KNOWING,MTO
Bootstrap,jquery,IMPLIES_KNOWING,MTO
Bottle,Python,IMPLIES_KNOWING,MTO
Bottle,pip,IMPLIES_KNOWING,MTO
Brain.js,JavaScript,SUPPORTED_LANGUAGE,MTO
Braintree Android SDK,Java,SUPPORTED_LANGUAGE,MTO
Braintree Android SDK,Kotlin,SUPPORTED_LANGUAGE,MTO
Brakeman,Ruby,SUPPORTED_LANGUAGE,MTO
Bridge.NET,C#,SUPPORTED_LANGUAGE,MTO
Brownie,Python,IMPLIES_KNOWING,MTO
Brownie,Solidity,IMPLIES_KNOWING,MTO
Brownie,Vyper,IMPLIES_KNOWING,MTO
Brownie,ethereum,IMPLIES_KNOWING,MTO
Browserslist,JavaScript,SUPPORTED_LANGUAGE,MTO
Buffalo,Go,IMPLIES_KNOWING,MTO
Buffalo,Go Modules,IMPLIES_KNOWING,MTO
Bulma,CSS,IMPLIES_KNOWING,MTO
Bulma,HTML,IMPLIES_KNOWING,MTO
Bundler,Ruby,SUPPORTED_LANGUAGE,MTO
Bunit,C#,SUPPORTED_LANGUAGE,MTO
Bunny Ruby,RabbitMQ,IMPLIES_KNOWING,MTO
Bunny Ruby,Ruby,SUPPORTED_LANGUAGE,MTO
Butter Knife,Java,SUPPORTED_LANGUAGE,MTO
C++,C,IMPLIES_KNOWING,MTO
CIM Query Language (CQL),CQL (Cassandra Query Language),IMPLIES_KNOWING,MTO
CQL for TimeSeries,CQL (Cassandra Query Language),IMPLIES_KNOWING,MTO
CSS Flexbox,CSS,IMPLIES_KNOWING,MTO
CSS Grid,CSS,IMPLIES_KNOWING,MTO
CSS Multi-Column Layout,CSS,IMPLIES_KNOWING,MTO
CUE,JSON,IMPLIES_KNOWING,MTO
CacheManager,C#,SUPPORTED_LANGUAGE,MTO
Caffeine,Java,SUPPORTED_LANGUAGE,MTO
Cake,C#,SUPPORTED_LANGUAGE,MTO
CakePHP,Composer,IMPLIES_KNOWING,MTO
CakePHP,MySQL,IMPLIES_KNOWING,MTO
CakePHP,PHP,IMPLIES_KNOWING,MTO
CanJS,CSS,IMPLIES_KNOWING,MTO
CanJS,HTML,IMPLIES_KNOWING,MTO
CanJS,JavaScript,IMPLIES_KNOWING,MTO
Capybara,Ruby,SUPPORTED_LANGUAGE,MTO
Carbon Design System,JavaScript,IMPLIES_KNOWING,MTO
Carbon Design System,React,IMPLIES_KNOWING,MTO
Carbon Design System,Sass,IMPLIES_KNOWING,MTO
Carbon Design System,npm,IMPLIES_KNOWING,MTO
Cargo,Rust,SUPPORTED_LANGUAGE,MTO
Cassandra Astra,Amazon Keyspaces,IMPLIES_KNOWING,MTO
Cassandra Astra,Apache Cassandra,IMPLIES_KNOWING,MTO
Cassandra Astra,CQL (Cassandra Query Language),IMPLIES_KNOWING,MTO
Cassandra Astra,DataStax Enterprise Graph,IMPLIES_KNOWING,MTO
Cassandra Astra,Gremlin,IMPLIES_KNOWING,MTO
Cassandra Astra,ScyllaDB,IMPLIES_KNOWING,MTO
Catalyst,Perl,IMPLIES_KNOWING,MTO
Celery,Python,SUPPORTED_LANGUAGE,MTO
Chakra UI,JavaScript,IMPLIES_KNOWING,MTO
Chakra UI,JavaScript,SUPPORTED_LANGUAGE,MTO
Chakra UI,React,IMPLIES_KNOWING,MTO
