skill_name,source,external_id,external_label,source_version,source_url,source_type
.NET,MALAYSIA_JD,dotnet,.NET,39 Malaysian adverts,,market-evidence
7-Zip,MTO,7 zip,7-Zip,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Tool
AB Tasty,MTO,ab tasty,AB Tasty,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Service | Library
ABAP,INTERNAL,,ABAP,pre-mto-baseline,,Enterprise Systems
ABAP,MTO,abap,ABAP,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,ProgrammingLanguage
ACME,MTO,acme,ACME,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,T | o | o | l
AIF360,MTO,aif360,AIF360,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Library
API,MALAYSIA_JD,api,API,89 Malaysian adverts,,market-evidence
API,QARERA_2026,api,API,"1.15% of 360,336 postings",,market-evidence
API,TECH_JOBS,api,API,264 jobs / 196 companies,,market-evidence
API Integration,INTERNAL,,API Integration,pre-mto-baseline,,Software Engineering
APScheduler,MTO,apscheduler,APScheduler,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Library
AQL (ArangoDB Query Language),MTO,aql arangodb query language,AQL (ArangoDB Query Language),2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,QueryLanguage
ARM Templates,MTO,arm templates,ARM Templates,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,T | o | o | l
ASGI,MTO,asgi,ASGI,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Tool
ASN.1,MTO,asn.1,ASN.1,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,MarkupLanguage
ASP.NET,MTO,asp.net,ASP.NET,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Framework
ASP.NET Core,MTO,asp.net core,ASP.NET Core,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Framework
ASP.NET MVC,MTO,asp.net mvc,ASP.NET MVC,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Framework
AWK,MTO,awk,AWK,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,ProgrammingLanguage
AWS,INTERNAL,,AWS,pre-mto-baseline,,Cloud Computing
AWS,MTO,aws,AWS,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Service
AWS AppSync,MTO,aws appsync,AWS AppSync,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Database
AWS CDK,MTO,aws cdk,AWS CDK,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Service | Library
AWS Control Tower,MTO,aws control tower,AWS Control Tower,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,S | e | r | v | i | c | e
AWS Device Farm,MTO,aws device farm,AWS Device Farm,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Library
AWS DynamoDB,MTO,aws dynamodb,AWS DynamoDB,2367527d1a2f5665f595d6e0518294cc69dfb0fe,https://github.com/MIND-TechAI/MIND-tech-ontology,Service | Database
