hierarchy_id,track,subtrack,role_name,career_level,progression_order,is_cross_subtrack,source_page,source_url,source_publisher,source_retrieved,verification_status,notes
imda-data-and-artificial-intelligence-business-intelligence-chief-data-officer-chief-ai-officer,Data and Artificial Intelligence,Business Intelligence,Chief Data Officer/Chief AI Officer,EXECUTIVE,6,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-data-and-artificial-intelligence-business-intelligence-business-intelligence-director,Data and Artificial Intelligence,Business Intelligence,Business Intelligence Director,DIRECTOR,5,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-business-intelligence-business-intelligence-manager,Data and Artificial Intelligence,Business Intelligence,Business Intelligence Manager,MANAGER,4,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-business-intelligence-data-analyst,Data and Artificial Intelligence,Business Intelligence,Data Analyst,PROFESSIONAL,2,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-data-engineering-chief-data-officer-chief-ai-officer,Data and Artificial Intelligence,Data Engineering,Chief Data Officer/Chief AI Officer,EXECUTIVE,6,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-data-and-artificial-intelligence-data-engineering-data-architect,Data and Artificial Intelligence,Data Engineering,Data Architect,ARCHITECT,4,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-data-engineering-senior-data-engineer,Data and Artificial Intelligence,Data Engineering,Senior Data Engineer,SENIOR,3,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-data-engineering-data-engineer,Data and Artificial Intelligence,Data Engineering,Data Engineer,PROFESSIONAL,2,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-data-engineering-associate-data-engineer,Data and Artificial Intelligence,Data Engineering,Associate Data Engineer,ASSOCIATE,1,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-machine-learning-ml-engineering-chief-data-officer-chief-ai-officer,Data and Artificial Intelligence,Machine Learning (ML) Engineering,Chief Data Officer/Chief AI Officer,EXECUTIVE,6,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
